Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor'S,Software Engineer,5.0,90000.0
28.0,Female,Master'S,Data Analyst,3.0,65000.0
45.0,Male,Phd,Senior Manager,15.0,150000.0
36.0,Female,Bachelor'S,Sales Associate,7.0,60000.0
52.0,Male,Master'S,Director,20.0,200000.0
29.0,Male,Bachelor'S,Marketing Analyst,2.0,55000.0
42.0,Female,Master'S,Product Manager,12.0,120000.0
31.0,Male,Bachelor'S,Sales Manager,4.0,80000.0
26.0,Female,Bachelor'S,Marketing Coordinator,1.0,45000.0
38.0,Male,Phd,Senior Scientist,10.0,110000.0
29.0,Male,Master'S,Software Developer,3.0,75000.0
48.0,Female,Bachelor'S,Hr Manager,18.0,140000.0
35.0,Male,Bachelor'S,Financial Analyst,6.0,65000.0
40.0,Female,Master'S,Project Manager,14.0,130000.0
27.0,Male,Bachelor'S,Customer Service Rep,2.0,40000.0
44.0,Male,Bachelor'S,Operations Manager,16.0,125000.0
33.0,Female,Master'S,Marketing Manager,7.0,90000.0
39.0,Male,Phd,Senior Engineer,12.0,115000.0
25.0,Female,Bachelor'S,Data Entry Clerk,0.0,35000.0
51.0,Male,Bachelor'S,Sales Director,22.0,180000.0
34.0,Female,Master'S,Business Analyst,5.0,80000.0
47.0,Male,Master'S,Vp Of Operations,19.0,190000.0
30.0,Male,Bachelor'S,It Support,2.0,50000.0
36.0,Female,Bachelor'S,Recruiter,9.0,60000.0
41.0,Male,Master'S,Financial Manager,13.0,140000.0
28.0,Female,Bachelor'S,Social Media Specialist,3.0,45000.0
37.0,Female,Master'S,Software Manager,11.0,110000.0
24.0,Male,Bachelor'S,Junior Developer,1.0,40000.0
43.0,Female,Phd,Senior Consultant,15.0,140000.0
33.0,Male,Master'S,Product Designer,6.0,90000.0
50.0,Male,Bachelor'S,Ceo,25.0,250000.0
31.0,Female,Bachelor'S,Accountant,4.0,55000.0
29.0,Male,Master'S,Data Scientist,3.0,75000.0
39.0,Female,Bachelor'S,Marketing Specialist,10.0,65000.0
46.0,Male,Phd,Senior Manager,20.0,170000.0
27.0,Male,Bachelor'S,Technical Writer,2.0,45000.0
35.0,Female,Bachelor'S,Hr Generalist,7.0,60000.0
42.0,Male,Master'S,Project Engineer,14.0,115000.0
26.0,Female,Bachelor'S,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor'S,Sales Executive,21.0,160000.0
34.0,Female,Master'S,Ux Designer,5.0,80000.0
48.0,Male,Master'S,Operations Director,18.0,190000.0
30.0,Male,Bachelor'S,Network Engineer,3.0,60000.0
36.0,Female,Bachelor'S,Administrative Assistant,8.0,45000.0
41.0,Male,Master'S,Strategy Consultant,13.0,130000.0
28.0,Female,Bachelor'S,Copywriter,2.0,40000.0
32.0,Male,Bachelor'S,Account Manager,5.0,75000.0
45.0,Female,Master'S,Director Of Marketing,16.0,180000.0
38.0,Male,Phd,Senior Scientist,11.0,120000.0
25.0,Male,Bachelor'S,Help Desk Analyst,0.0,35000.0
51.0,Female,Bachelor'S,Customer Service Manager,22.0,130000.0
33.0,Male,Master'S,Business Intelligence Analyst,7.0,85000.0
40.0,Female,Bachelor'S,Event Coordinator,12.0,60000.0
47.0,Male,Master'S,Vp Of Finance,19.0,200000.0
29.0,Female,Bachelor'S,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor'S,Sales Manager,9.0,95000.0
27.0,Female,Master'S,Ux Researcher,2.0,65000.0
43.0,Male,Phd,Senior Engineer,17.0,140000.0
30.0,Female,Bachelor'S,Social Media Manager,4.0,55000.0
35.0,Male,Master'S,Product Manager,7.0,105000.0
51.0,Female,Master'S,Director Of Operations,23.0,170000.0
29.0,Male,Bachelor'S,Marketing Analyst,3.0,50000.0
40.0,Female,Bachelor'S,Hr Manager,12.0,80000.0
47.0,Male,Phd,Senior Data Scientist,21.0,180000.0
26.0,Male,Bachelor'S,Junior Accountant,1.0,35000.0
38.0,Female,Master'S,Digital Marketing Manager,10.0,90000.0
46.0,Male,Bachelor'S,It Manager,19.0,120000.0
31.0,Female,Bachelor'S,Customer Service Representative,5.0,45000.0
34.0,Male,Master'S,Business Development Manager,8.0,90000.0
49.0,Female,Master'S,Senior Financial Analyst,18.0,150000.0
33.0,Male,Bachelor'S,Web Developer,6.0,65000.0
39.0,Female,Bachelor'S,Recruiter,11.0,70000.0
45.0,Male,Phd,Research Director,16.0,190000.0
28.0,Male,Bachelor'S,Technical Support Specialist,2.0,40000.0
42.0,Female,Master'S,Creative Director,14.0,120000.0
37.0,Male,Bachelor'S,Project Manager,10.0,95000.0
50.0,Female,Bachelor'S,Operations Manager,22.0,160000.0
32.0,Male,Master'S,Senior Software Engineer,6.0,100000.0
48.0,Female,Master'S,Human Resources Director,20.0,180000.0
30.0,Female,Bachelor'S,Content Marketing Manager,3.0,55000.0
36.0,Male,Bachelor'S,Technical Recruiter,8.0,70000.0
41.0,Female,Master'S,Data Analyst,13.0,80000.0
25.0,Male,Bachelor'S,Sales Representative,0.0,30000.0
52.0,Male,Phd,Chief Technology Officer,24.0,250000.0
29.0,Female,Bachelor'S,Junior Designer,2.0,40000.0
34.0,Female,Master'S,Financial Advisor,10.0,95000.0
27.0,Male,Bachelor'S,Junior Account Manager,2.0,45000.0
40.0,Female,Bachelor'S,Hr Generalist,15.0,80000.0
46.0,Male,Master'S,Senior Project Manager,21.0,135000.0
31.0,Female,Bachelor'S,Marketing Coordinator,6.0,55000.0
36.0,Male,Phd,Principal Scientist,11.0,120000.0
29.0,Female,Bachelor'S,Sales Associate,3.0,40000.0
43.0,Male,Bachelor'S,Supply Chain Manager,18.0,105000.0
52.0,Female,Master'S,Senior Marketing Manager,25.0,170000.0
33.0,Male,Bachelor'S,Business Analyst,7.0,75000.0
